2020-02-19/16:50:20		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:20		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:20		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:21		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:21		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:21		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:17		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:17		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:17		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:17		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:17		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:18		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:18		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:18		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:18		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:18		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:18		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:18		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:18		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:18		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:18		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:19		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:19		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:19		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:19		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:19		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:19		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:19		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:19		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:19		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:19		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:20		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:20		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:20		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:20		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:20		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:20		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:20		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:20		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:20		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:20		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:21		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:21		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:21		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:21		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:21		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:21		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:21		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:21		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:21		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:22		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:22		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:22		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:22		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:22		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:22		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:22		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:22		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:22		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:23		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:23		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:23		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:23		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
